shannon	simpson
Sample1	2.20820261535281	0.794232292398301
Sample10	2.79240834972601	0.891531628028047
Sample11	3.0359154465977	0.914753176108809
Sample12	2.75603831856037	0.842270739570366
Sample13	3.38279583165854	0.937435478059504
Sample14	2.38331604406619	0.865900544487441
Sample15	2.17979025476461	0.829909204180197
Sample16	2.32753085052389	0.829268594654421
Sample17	2.55367117305626	0.888734252294175
Sample18	2.33213429908431	0.865090981344982
Sample19	2.65290585991015	0.852243259552648
Sample2	2.90161774042646	0.865806773808408
Sample20	3.10974034437858	0.899053293543628
Sample21	3.26018456259248	0.92593697148316
Sample22	3.18885777098071	0.907614229884818
Sample23	2.602322403554	0.875070375582885
Sample24	3.1064050872557	0.906457316591077
Sample25	2.99273295442405	0.908684483326681
Sample26	4.09149393623924	0.966235444749958
Sample27	2.44773261501748	0.856247031343511
Sample28	4.19360414754445	0.957682141563651
Sample29	3.61045068238811	0.929507822645652
Sample3	2.48022515946345	0.796727892457647
Sample30	3.75759807131322	0.943102419932109
Sample31	2.30029672282954	0.842155160898613
Sample32	2.10236806668596	0.733638200051268
Sample33	2.37554734594219	0.841721558757047
Sample34	2.95824087259492	0.918422330011018
Sample4	2.67794187715937	0.869755671133467
Sample5	3.47898971823617	0.930653759820427
Sample6	3.42157664967637	0.920808114156912
Sample7	2.81606084738982	0.774138508277017
Sample8	4.32325713136324	0.973428961016258
Sample9	1.99673660418985	0.767435416565088
